( 40 , )
( 5 ,a )
( 15 , )
( 40 , )
( 5 ,b )
( 15 , )
( 40 , )
( 5 ,c )
( 15 , )
( 40 , )
( 5 ,main )
( 16 , )
( 17 , )
( 6 , )
( 40 , )
( 5 ,t )
( 15 , )
( 46 , )
( 16 , )
( 5 ,a )
( 13 , )
( 1 ,4 )
( 17 , )
( 6 , )
( 5 ,a )
( 12 , )
( 5 ,b )
( 8 , )
( 5 ,c )
( 15 , )
( 45 , )
( 16 , )
( 5 ,a )
( 12 , )
( 1 ,1 )
( 15 , )
( 5 ,a )
( 13 , )
( 2 ,4.1 )
( 15 , )
( 5 ,a )
( 12 , )
( 5 ,a )
( 8 , )
( 1 ,1 )
( 17 , )
( 6 , )
( 5 ,b )
( 12 , )
( 1 ,2 )
( 15 , )
( 7 , )
( 7 , )
( 47 , )
( 6 , )
( 5 ,a )
( 12 , )
( 16 , )
( 5 ,b )
( 8 , )
( 5 ,c )
( 17 , )
( 11 , )
( 16 , )
( 5 ,b )
( 9 , )
( 5 ,c )
( 17 , )
( 15 , )
( 7 , )
( 43 , )
( 2 ,0.5 )
( 15 , )
( 7 , )
